Job Title,Company,City,State,Country,Date Posted,Skills and Qualifications,Responsibilities,Experience,Full Time,Remote,Contractor,On Site,URL
Cybersecurity Analyst,Founders Federal Credit Union,Lancaster,SC,US,12/09/2024,"• Strong data analysis, research, analytical and testing skills, The ideal candidate must have the following skills & qualifications:
• Excellent communication, documentation skills, and the ability to understand and explain technical details to technical and non-technical audiences is required to be successful, Benefits provided include the following:
• Paid Holidays
• Paid Time Off
• Family-oriented culture that values work/life balance
• Retirement Plan (401k with employer contributions + Pension Plan fully funded by FFCU)
• Comprehensive Health and Dental Insurance
• Life and Accidental Death & Dismemberment Insurance (at no cost to employee)
• Voluntary Supplemental Life Insurance coverage for employee, spouse, and children
• Health Care and Dependent Care Flexible spending accounts
• Long Term Care Plan
• Short-Term and Long-Term Disability Insurance
• Tuition reimbursement to assist with furthering education
• Certifications - Assistance with achieving and maintaining
• Fit Founders Wellness Program

EEO

A pre-employment credit check, background screening, drug screening, and reference check will be required, • ISACA Cybersecurity Fundamentals certification is required within 12 months","Responsibilities and Duties:  The Cybersecurity Analyst is responsible for ensuring effective integration of Information Technology systems and services with the Information Security Program and Information Security Policy. The Cybersecurity Analyst is primarily responsible for protecting Founders from cyberattacks. This involves researching upcoming IT trends, reviewing suspicious activities, reporting security breaches, and educating employees on cybersecurity. The Cybersecurity Analyst will support and participate in the FIT offerings related to cybersecurity.  Additional responsibilities include, but are not limited to: • Monitor cybersecurity software used in environment. • Investigate incoming alerts and escalate as necessary. • Investigate suspicious email reports. • Review incoming incident response hotline calls. • Threat hunting within the environment to prevent security incidents. • Perform vulnerability scans in environment. Research solutions to vulnerabilities and work alongside system owners and techs to remediate vulnerabilities. • Create Threat Assessments to aid in evaluating risks posed by vulnerabilities or potential threats based on research of upcoming trends and intelligence feeds. • Work with other CSOC team members to create and execute Security Awareness Training and Testing for the enterprise and FIT clients. • Gather information as required to present in board reports. • Assist with maintaining email filtering systems and release emails when deemed safe. • Participate in CSOC team meetings. • Assist with reviewing and remediating items found during audits, both internal and external. • Develop and support cybersecurity environments for FIT CUSO clients. • On-Call Rotation for after hour alerts/cybersecurity. • Comply with Founders’ policies and procedures, as well as applicable laws, regulations, and statutes issued by federal agencies such as NCUA and FFIEC, including, but not limited to, GLBA and BSA. Employees have legal and regulatory obligations to respect and protect the privacy of information and its integrity and confidentiality. • All other duties as assigned.  Job Specifications:  The Cybersecurity Analyst must have the ability to analyze, research, and resolve questions and possess the ability to learn quickly and adjust to technological changes. The ideal candidate must have the following skills & qualifications: • Excellent communication, documentation skills, and the ability to understand and explain technical details to technical and non-technical audiences is required to be successful. • Ability to effectively communicate on complex issues with a high level of effectiveness. • The ability to work in a team, present a trustworthy image, and deal effectively with others is required. • Must be a self-starter with the ability to manage multiple work assignments and priorities with urgent deadlines, maintain excellent service delivery, while working with a fast-paced team. • Strong data analysis, research, analytical and testing skills. • Able to work independently without significant supervision. • Bachelor’s degree in computer science or a related field is preferred. • ISACA Cybersecurity Fundamentals certification is required within 12 months.  Due to the nature of project deadlines and implementation schedules, evening and weekend work may be required.  Due to the critical nature of data security, each employee has the responsibility to protect company data. Employees have legal and regulatory obligations to respect and protect the privacy of information and its integrity and confidentiality. Guidance is contained in the company information security policies. Violations of policy may result in disciplinary action, up to and including termination.  Adhere to the principle of least privilege to reduce the risk of unauthorized access to critical systems or sensitive data by maintaining account permissions to accounts, processes and programs only required to do the job assigned.  Follow the asset management lifecycle process and procedures to support the efforts in maintaining an accurate and efficient configuration management inventory.  Maintain a knowledge and understanding of the roles and responsibilities of the Incident Response teams defined in the Incident Response Plan.  Benefits provided include the following: • Paid Holidays • Paid Time Off • Family-oriented culture that values work/life balance • Retirement Plan (401k with employer contributions + Pension Plan fully funded by FFCU) • Comprehensive Health and Dental Insurance • Life and Accidental Death & Dismemberment Insurance (at no cost to employee) • Voluntary Supplemental Life Insurance coverage for employee, spouse, and children • Health Care and Dependent Care Flexible spending accounts • Long Term Care Plan • Short-Term and Long-Term Disability Insurance • Tuition reimbursement to assist with furthering education • Certifications - Assistance with achieving and maintaining • Fit Founders Wellness Program  EEO  A pre-employment credit check, background screening, drug screening, and reference check will be required.  #FoundersFCU  #ZR","Do you have experience implementing security controls, penetration testing and cybersecurity risk assessments? If so, this position may be the right fit for you! Founders is searching for a passionate cybersecurity professional to join our IT team as a Cybersecurity Analyst. This position is located on site at our Corporate Headquarters in Lancaster, SC. Remote work is not available, however the individual may be able to work at our Rock Hill Center upon completion of training.",No,Yes,No,No,"https://www.glassdoor.com/job-listing/cybersecurity-analyst-founders-federal-credit-union-JV_IC1155237_KO0,21_KE22,51.htm?jl=1009444812827&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Cybersecurity Analyst,Mfa Inc,Columbia,MO,US,14/09/2024,"degree in Computer Science, related degree, or a combination of equivalent education and experience
• Security certifications preferred, OUR EXPECTATIONS ARE THAT YOU:
• Can evaluate, implement, and maintain secure network architecture and best practices
• Can monitor the MFA network for malicious or suspicious activity and investigate any potential threats
• Can evaluate, implement, and maintain a comprehensive Vulnerability Management system including recommending mitigation strategies
• Can evaluate, implement, and maintain anti-virus and anti-malware protection software
• Can assist in the implementation of systems, ensuring that security best practices are applied to applications and IT operations
• Can design, implement, and monitor policies and procedures for IT security
• Can manage information security incidents, including analyzing, responding, tracking, administrating incidents and assist in coordinating remediation actions

YOU ARE RIGHT FOR THIS ROLE IF YOU:
• Have experience working in agriculture and enjoy being a key player in the industry
• Have a desire to succeed in your career and the ability to represent the companys culture
• Can uphold the companys mission, vision and values
• Have good time management skills
• Have good oral and written communication skills
• Have good interpersonal skills
• Have good management and leadership skills
• Have exceptional organizational skills
• Can demonstrate timely and accurate decision making skills
• Can demonstrate self-motivation, initiative, assertiveness and are results-oriented
• Can demonstrate proficiency in Microsoft Office Products
• Have advanced knowledge in Network fundamentals, Routing, Switching, Wireless, WAN/LAN, and Cloud Technologies
• Have knowledge of security concepts such as perimeter defense, data loss protection, insider threat, kill-chain analysis, risk assessment, common security frameworks, Two-Factor Authentication solutions and VPN architecture","This employee is responsible for ensuring the companys systems and data are secure with a high degree of availability, while maintaining confidentiality and integrity of that data. The specific focus for this roleis on security logging and network traffic analysis as well as vulnerability management.All duties should be performed in accordance with company policy.  OUR EXPECTATIONS ARE THAT YOU: • Can evaluate, implement, and maintain secure network architecture and best practices • Can monitor the MFA network for malicious or suspicious activity and investigate any potential threats • Can evaluate, implement, and maintain a comprehensive Vulnerability Management system including recommending mitigation strategies • Can evaluate, implement, and maintain anti-virus and anti-malware protection software • Can assist in the implementation of systems, ensuring that security best practices are applied to applications and IT operations • Can design, implement, and monitor policies and procedures for IT security • Can manage information security incidents, including analyzing, responding, tracking, administrating incidents and assist in coordinating remediation actions  YOU ARE RIGHT FOR THIS ROLE IF YOU: • Have experience working in agriculture and enjoy being a key player in the industry • Have a desire to succeed in your career and the ability to represent the companys culture • Can uphold the companys mission, vision and values • Have good time management skills • Have good oral and written communication skills • Have good interpersonal skills • Have good management and leadership skills • Have exceptional organizational skills • Can demonstrate timely and accurate decision making skills • Can demonstrate self-motivation, initiative, assertiveness and are results-oriented • Can demonstrate proficiency in Microsoft Office Products • Have advanced knowledge in Network fundamentals, Routing, Switching, Wireless, WAN/LAN, and Cloud Technologies • Have knowledge of security concepts such as perimeter defense, data loss protection, insider threat, kill-chain analysis, risk assessment, common security frameworks, Two-Factor Authentication solutions and VPN architecture. • Have working knowledge of security tools/languages including NMAP, Vulnerability Scanners, SIEMs, etc.  HIGHLY QUALIFIED CANDIDATES WILL BRING: • B.S. degree in Computer Science, related degree, or a combination of equivalent education and experience • Security certifications preferred","• Have experience working in agriculture and enjoy being a key player in the industry • B.S. degree in Computer Science, related degree, or a combination of equivalent education and experience",No,No,No,No,"https://www.glassdoor.com/job-listing/cybersecurity-analyst-mfa-inc-JV_IC1130886_KO0,21_KE22,29.htm?jl=1009406562146&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
CyberSecurity Analyst I,Aersale Inc,Hialeah Gardens,FL,US,16/09/2024,"• Cybersecurity industry certifications are a plus, Skills and Abilities:
• Must have strong technical knowledge, • Must have a high level of self-motivation and excellent time management skills, • Excellent written and verbal communication skills, including explaining complex subjects in simple terms","Job Responsibilities: • Completes tasks designed to ensure security of the organization's systems and information assets. Protects against unauthorized access, modification, or destruction and develops IT security standards, processes, and procedures. • Operates security monitoring systems and responds to events and incidents as necessary to ensure the confidentiality, integrity, and availability of data and services for business operations • Assess systems and software compliance against approved NIST/CMMC guidelines • Works with the IT Team and other departments to implement policies or procedures and track compliance throughout the organization. • Manage and troubleshoot configuration, patch, and vulnerability management systems. • Provide support to all staff regarding security issues/concerns. • Communicate security-related concepts to technical and non-technical teams. • Stay current on information technology trends as they relate to security. • Other duties as assigned.","Job Summary: AerSale is one of the fastest growing companies in the aviation fleet maintenance and products industry. We are now hiring an experienced IT Security Analyst to join our diverse and collaborative Tech Team as we create a center of excellence within our the company. Education and Experience: • Bachelor's degree or equivalent experience. • NIST, PCI, HIPAA compliance experience is a plus. • Minimum 2+ years of experience in Cybersecurity working with incident response, logging, alerting, and firewalls. • Experience with endpoint security applications including Anti-virus, EDR, Desktop Encryption, DLP etc. • Experience securing VPN, Security Access Gateway, Cloud Access Security Broker, and Secure Access Service Edge technologies.",No,No,Yes,No,"https://www.glassdoor.com/job-listing/cybersecurity-analyst-i-aersale-inc-JV_IC1166127_KO0,23_KE24,35.htm?jl=1009239903638&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Associate - Application Cybersecurity,United Airlines,Chicago,IL,US,13/09/2024,"• Provide ongoing support and completion of daily tasks for cybersecurity programs such as incident response, application cybersecurity, vulnerability management and remediation, aircraft cyber operations, cloud and infrastructure cybersecurity, data protection and privacy, and risk management and compliance
• Support cybersecurity threat assessments
• Assist with the review and updates to documentation of company processes, policies, and standards
• Interpret relevant laws, regulations and policies
• Collaborate with digital technology, business teams and external partners to build relationships supporting accountabilities and ensure consistency, adaptability, responsiveness and effectiveness of security solutions
• Communicate information, concepts and metrics in a confident and well-organized manner through verbal, written and visual means

United values diverse experiences, perspectives, and we encourage everyone who meets the minimum qualifications to apply, , interpersonal skills, approachability, effective listening skills, appropriate use of style and language for the audience)
• Able to learn from others and self-teach to continuously grow
• Must be legally authorized to work in the United States for any employer without sponsorship
• Successful completion of interview required to meet job qualification
• Reliable, punctual attendance is an essential function of the position

What will help you propel from the pack (Preferred Qualifications):
• STEM, Cybersecurity education
• 2+ years of experience with Application Cybersecurity
• Moderate programming skills
• Basic knowledge of computer operating systems, network design, embedded security and security architecture principles
• Knowledge of security engineering and architecture concepts

United Airlines is an equal opportunity employer, Qualifications

What’s needed to succeed (Minimum Qualifications):
• Bachelor's degree or 4+ years of experience in lieu of degree
• Ability to overcome challenges and within time constraints
• Ability to perform in a dynamic environment and manage multiple projects and priorities
• Strong analytical and problem-solving skills, detail oriented & organized approach
• Skilled in communicating with all levels of management (e, While having the “desired” qualifications make for a stronger candidate, we encourage applicants who may not feel they check ALL of those boxes","Key Responsibilities:  The Associate – Cybersecurity is responsible for assisting with the implementation of Cybersecurity and Digital Risk programs. They protect our airline and its customers by helping to implement programs consistent with the latest developments in cybersecurity. They are part of a cross-disciplinary cyber team that takes a proactive and risk-based approach to identifying and addressing cyber risks and incidents in order to protect United from cyber attacks. • Provide ongoing support and completion of daily tasks for cybersecurity programs such as incident response, application cybersecurity, vulnerability management and remediation, aircraft cyber operations, cloud and infrastructure cybersecurity, data protection and privacy, and risk management and compliance • Support cybersecurity threat assessments • Assist with the review and updates to documentation of company processes, policies, and standards • Interpret relevant laws, regulations and policies • Collaborate with digital technology, business teams and external partners to build relationships supporting accountabilities and ensure consistency, adaptability, responsiveness and effectiveness of security solutions • Communicate information, concepts and metrics in a confident and well-organized manner through verbal, written and visual means  United values diverse experiences, perspectives, and we encourage everyone who meets the minimum qualifications to apply. While having the “desired” qualifications make for a stronger candidate, we encourage applicants who may not feel they check ALL of those boxes. We are always looking for individuals who will bring something new to the table.  Qualifications  What’s needed to succeed (Minimum Qualifications): • Bachelor's degree or 4+ years of experience in lieu of degree • Ability to overcome challenges and within time constraints • Ability to perform in a dynamic environment and manage multiple projects and priorities • Strong analytical and problem-solving skills, detail oriented & organized approach • Skilled in communicating with all levels of management (e.g., interpersonal skills, approachability, effective listening skills, appropriate use of style and language for the audience) • Able to learn from others and self-teach to continuously grow • Must be legally authorized to work in the United States for any employer without sponsorship • Successful completion of interview required to meet job qualification • Reliable, punctual attendance is an essential function of the position  What will help you propel from the pack (Preferred Qualifications): • STEM, Cybersecurity education • 2+ years of experience with Application Cybersecurity • Moderate programming skills • Basic knowledge of computer operating systems, network design, embedded security and security architecture principles • Knowledge of security engineering and architecture concepts  United Airlines is an equal opportunity employer. United Airlines recruits, employs, trains, compensates and promotes regardless of race, religion, color, national origin, gender identity, sexual orientation, physical ability, age, veteran status, and other protected status as required by applicable law. We will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform crucial job functions. Please contact JobAccommodations@united.com to request accommodation.  Post end date: 7/1/2024  Posted Range: 65,700-96,360  Equal Opportunity Employer - Minorities/Women/Veterans/Disabled/LGBT","United values diverse experiences, perspectives, and we encourage everyone who meets the minimum qualifications to apply. While having the “desired” qualifications make for a stronger candidate, we encourage applicants who may not feel they check ALL of those boxes. We are always looking for individuals who will bring something new to the table. • Bachelor's degree or 4+ years of experience in lieu of degree • 2+ years of experience with Application Cybersecurity",No,No,No,No,"https://www.glassdoor.com/job-listing/associate-application-cybersecurity-united-airlines-JV_IC1128808_KO0,35_KE36,51.htm?jl=1009321210874&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Cyber Security Internship (Summer 2025 - Remote),Home Depot / THD,Atlanta,GA,US,21/09/2024,"0 or above

Description of Roles: (Career paths that utilize this skillset full-time)

At The Home Depot, our associates always have room to move up and explore new opportunities, Tasks, responsibilities, and key accountabilities include:
• Deploying various technologies to establish data privacy and security controls
• Helping to improve application security
• Managing system and software vulnerabilities
• Establishing methods for securing connected or ""smart"" devices
• Developing advanced cyber monitoring and security analytics solutions
• Establishing cyber crisis management capabilities
• Designing and delivering business-focused cyber wargames to prepare our clients with advanced techniques for responding to continually evolving cyber-attacks
• Providing cyber forensics and incident response support

Preferred Qualifications
• Currently pursuing relevant degree
• 0-1 years of relevant work experience
• Interest in working as part of a collaborative, cross-functional team of engineers
• General knowledge of security fundamentals
• Solid understanding of Internet fundamentals (DNS, TCP/IP, HTTP)
• Familiarity with and some ability to code
• Preferred GPA 3, Internship Overview

The Home Depot’s Summer Internship program offers college students an opportunity to develop leadership skills and gain hands on experience in a corporate environment","Tasks, responsibilities, and key accountabilities include: • Deploying various technologies to establish data privacy and security controls • Helping to improve application security • Managing system and software vulnerabilities • Establishing methods for securing connected or ""smart"" devices • Developing advanced cyber monitoring and security analytics solutions • Establishing cyber crisis management capabilities • Designing and delivering business-focused cyber wargames to prepare our clients with advanced techniques for responding to continually evolving cyber-attacks • Providing cyber forensics and incident response support  Preferred Qualifications • Currently pursuing relevant degree • 0-1 years of relevant work experience • Interest in working as part of a collaborative, cross-functional team of engineers • General knowledge of security fundamentals • Solid understanding of Internet fundamentals (DNS, TCP/IP, HTTP) • Familiarity with and some ability to code • Preferred GPA 3.0 or above  Description of Roles: (Career paths that utilize this skillset full-time)  At The Home Depot, our associates always have room to move up and explore new opportunities. After the Internship, here are some examples of early career roles that interns with a background in Analytics could potentially support: • Cybersecurity Engineer • Cybersecurity Analyst  Location: Remote Interns will be primarily remote throughout the 11-week program but may be required to travel to our Atlanta corporate office (Store Support Center) for up to 3 weeks during the program. Travel expenses will be covered for eligible interns.  Apply End Date: 10/31/2024","The Home Depot’s Summer Internship program offers college students an opportunity to develop leadership skills and gain hands on experience in a corporate environment. During an 11 – week period from May 12 - July 25, 2025, interns will be assigned to a functional team such as Supply Chain, Marketing, e-commerce, Technology, Finance, Operations, Merchandising, Outside Sales & Services, Human Resources, etc. Interns will learn more about our retail business and our corporate offices while having the opportunity to work on a pre-assigned project that impacts the function they are supporting. Additionally, interns participate in networking and development activities that set them up for success as they build their careers. • 0-1 years of relevant work experience",Yes,Yes,No,No,"https://www.glassdoor.com/job-listing/cyber-security-internship-summer-2025-remote-home-depot-thd-JV_IC1155583_KO0,44_KE45,59.htm?jl=1009455699800&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Cybersecurity Analyst,BayCare,Clearwater,FL,US,12/09/2024,"Vulnerability Management and Projects
• Perform ad-hoc scans
• Manage and maintain scheduled scans
• Engage cross-functional teams to remediate vulnerabilities
• Manage to conclusion Critical Zero Day vulnerabilities
• Participate on Project calls to provide security governance, recommendations, best practices
• Ensure projects are implemented in ways that conform with security policy

Analyst Requirements
• GCIH, GSEC, or Security+ and Network+ certifications preferred","As a member of the IS Security & Threat Management team, members participate in a quarterly/biannual rotation of sub-functional duties: Incident Response, Project Review and Vulnerability Management, as well as Security Engineering and tools maintenance.  We are seeking technology professionals with experience in networking, firewall, incident response, command-line, APT, ransomware, and/or SIEM experience.  Candidates MUST reside in the state of Florida or be willing to relocate. This is a fully remote position; however, occasional on-site, after-hours/weekend work may be required. This role participates in a rotating on-call schedule with other IS Security and Threat team members.  Responsibilities:  Incident Response • First line of defense in the discovery of cyber threats, characterization and attribution of those threats, creation and sharing of situational awareness, and the development of mitigation strategies. • Use collected information (IPS, FW and network traffic logs, host/system logs, AV/EDR logs, etc) to identify, analyze, and report events that occur or might occur within the environment. • Incident handling, triage of events, network analysis and threat detection, forensic investigations, eDiscovery and litigation, trend analysis. • Threat hunting using less operational ready data to investigate suspicious or anomalous activity. • Creation of new content to detect malicious activity using threat hunt information.  Security Engineering • Track and trend system performance and maintain the health and stability of our tools and environment • Create metrics and dashboards and reports that helps us find deviations from the norm to investigate • Configure security solutions to protect our assets, data, and network • Create roadmaps and implement recommendations to mature and continuously improve our security posture • Create SOP for new features or new solutions implemented to ensure operational readiness.  Vulnerability Management and Projects • Perform ad-hoc scans • Manage and maintain scheduled scans • Engage cross-functional teams to remediate vulnerabilities • Manage to conclusion Critical Zero Day vulnerabilities • Participate on Project calls to provide security governance, recommendations, best practices • Ensure projects are implemented in ways that conform with security policy","We are seeking technology professionals with experience in networking, firewall, incident response, command-line, APT, ransomware, and/or SIEM experience. • 3 years of Incident Response, Firewall/IPS, and/or Forensic Investigation experience is required with a Bachelor's degree. • 7 years of related experience can be accepted with a HS Diploma/GED",No,Yes,No,Yes,"https://www.glassdoor.com/job-listing/cybersecurity-analyst-baycare-JV_IC1154388_KO0,21_KE22,29.htm?jl=1009404675208&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
IT CYBERSECURITY ENGINEER,City of Amarillo,Amarillo,TX,US,23/09/2024,"KNOWLEDGE, SKILLS, AND ABILITIES
• Ability to investigate attacks to find root causes, Preferred certifications: Certified Information Systems Security Professional (CISSP), Information Systems Security Architecture Professional (ISSAP), Certified Information Security Manager (CISM), Certified Ethical Hacker, Offensive Security Certified Professional (OSCP), CompTIA Network Security+, CompTIA Security+, • Critical thinking and problem-solving skills
• Understanding of next-gen firewalls, routers, switches
• Knowledge of EDR, XDR, MDR, and SIEM, • Social Engineering skills
• Strong verbal and written communication skills

ADA PROFILE

Reasonable accommodation will be made to enable individuals with disabilities to perform the essential functions of this position","ESSENTIAL RESPONSIBILITIES • Remains current on industry security standards/best practices, cyber security topics, and compliance as it relates to Criminal Justice Information Services (CJIS), Health Insurance Portability and Accountability Act (HIPAA), Payment Card Industry (PCI), and transportation cybersecurity • Maintains security equipment and identifies, authors, and implements user, network, and system security policies • Proactively maintains tools for monitoring, support, and reporting • Works closely with city departments to identify risks, threats, and security vulnerabilities, provide guidance, and track remediation efforts • Perform security, vulnerability, and risk assessments of critical systems, infrastructure, applications, and third-party partners • Provides recommendations and action plans based on vulnerability and gap assessments • Assists with managing the IT Governance policies and processes • Participates in project planning and management across multiple efforts • Evaluates, develops and recommend security products and platforms to provide cost-effective solutions • Manages formal security training courses and creates campaigns to help educate users and reduce risk • Incident response experience, particularly leading incident investigations • Manages and directs various IT vendor and contractor-related tasks • Makes recommendations that impact the department budget • Assists in the competitive procurement processes, writes bid specifications, assists in the evaluation of proposals, and makes recommendations for bid awards as needed • Performs other job-related duties as assigned","• Incident response experience, particularly leading incident investigations Requires a bachelor's degree in information technology or a related field, or a minimum of three years of security experience, or an equivalent combination of education/experience implementing and maintaining information security systems and analysis, security programs, and projects. Solid work experience in the administration and performance of security systems and tools and a solid knowledge of infrastructure, systems, and application operations. • Experience with handling complex network architectures.",No,No,Yes,No,"https://www.glassdoor.com/job-listing/it-cybersecurity-engineer-city-of-amarillo-JV_IC1139740_KO0,25_KE26,42.htm?jl=1009292107515&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Cyber Security Strategist,Black Eagle Defense,Annapolis Junction,MD,US,24/09/2024,"Job Description

QUALIFICATIONS A high school diploma or GED plus 9 years of relevant experience, or an Associate's degree plus 7 years of relevant experience, or a Bachelor's degree plus 5 years of relevant experience, or a Master's degree plus 3 years of relevant experience, or a Doctoral degree and 2 years of relevant experience",N/A,"QUALIFICATIONS A high school diploma or GED plus 9 years of relevant experience, or an Associate's degree plus 7 years of relevant experience, or a Bachelor's degree plus 5 years of relevant experience, or a Master's degree plus 3 years of relevant experience, or a Doctoral degree and 2 years of relevant experience. A degree in Cyber Security, Information Assurance, or a related field is preferred, but a degree in any field is acceptable. Relevant experience must be in an area directly related to an NSA mission ( e.g., collection, cyber, and intelligence analysis) and/or a similar mission in the IC or DoD, and include strategic and/or operational level planning (e.g., joint operations). External engagement/collaboration experience (e.g., participation in cross-agency working groups, JDA, field assignments, and external customer support) is preferred.",No,No,No,No,"https://www.glassdoor.com/job-listing/cyber-security-strategist-black-eagle-defense-JV_IC1153524_KO0,25_KE26,45.htm?jl=1009293482173&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Information Security Engineer - CyberArk,Lams Technology LLC,,,US,23/09/2024,"Any of these certificates will be desirable and an advantage:

CyberArk Certification (CyberArk Certified Delivery Engineer), Certified Information Systems Security Professional (CISSP), Certified Information Security Manager (CISM),

Certified Ethical Hacker (CEH), Certified Cloud Security Professional (CCSP), Certified Information Systems Auditor (CISA), or Data Loss Prevention (DLP) Certification

Job Type: Contract

Pay: From $100,000","Duties Experience Required: • 7+ years' experience in a hands-on cybersecurity role • 2+ years' experience in CyberArk Engineering, operation, and maintenance • Understanding of cyber security technologies to include SIEM, access control, encryption, networks, anti-malware, server infrastructure, vulnerability management, Active Directory, and other common security solutions • Experience working directly with clients • Experience in managing the implementation of security tools (hands-on keyboard) • Experience in multiple daily security operations tasks • Experience in Cloud technologies  Responsibilities: • Operate CyberArk to manage privileged accounts and access • Manage CyberArk software and server updates • Support all ongoing efforts such as PCI compliance, audits, assessments, and regulatory activities • Respond to security incidents, and take part in remediation where necessary • Troubleshoot security systems • Work closely with other teams such as Cloud, Network, Desktop Support, and Audit • Provide reports and metrics on a regular basis • Work within the ticketing system • Documentation of processes and procedures  Experience Desired: • Experience with Varonis • Experience with RedSeal  Understanding of DLP technologies • Understanding of Ransomware propagation • Understanding asset management • Understanding of threats, vulnerabilities, and their impact.  Any of these certificates will be desirable and an advantage:  CyberArk Certification (CyberArk Certified Delivery Engineer), Certified Information Systems Security Professional (CISSP), Certified Information Security Manager (CISM),  Certified Ethical Hacker (CEH), Certified Cloud Security Professional (CCSP), Certified Information Systems Auditor (CISA), or Data Loss Prevention (DLP) Certification  Job Type: Contract  Pay: From $100,000.00 per year  Experience: • Linux: 1 year (Preferred) • Cybersecurity: 5 years (Preferred) • Information security: 7 years (Preferred)  Work Location: Remote","Experience Required: • 7+ years' experience in a hands-on cybersecurity role • 2+ years' experience in CyberArk Engineering, operation, and maintenance • Experience working directly with clients • Experience in managing the implementation of security tools (hands-on keyboard) • Experience in multiple daily security operations tasks • Experience in Cloud technologies Experience Desired: • Experience with Varonis • Experience with RedSeal Experience:",No,Yes,No,No,"https://www.glassdoor.com/job-listing/information-security-engineer-cyberark-lams-technology-llc-JV_KO0,38_KE39,58.htm?jl=1009457656895&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Cybersecurity Penetration Tester,Fusion Innovation,Chantilly,VA,US,24/09/2024,",
Required Skills
• 10+ years of experience in cybersecurity
• 8+ years of experience with penetration testing, including applying adversarial and computer attack methods and system exploitation techniques
• Experience applying Linux, Windows, and virtual platforms security principles
• Experience designing, testing, or implementing security architectures, enterprise systems, and hypervisors
• Experience performing network security and network architecture analyses
• Experience developing risk management methodologies and risk and threat mitigation plans
• TS/SCI clearance with Polygraph
• Bachelor's degree in Computer Science, Information Systems, Engineering, or other related technical discipline

,
Desired Skills
• Experience communicating vulnerability results and risk posture to senior executives
• Experience performing complex technical tasks with minimal direction
• Certified Ethical Hacker (CEH), Offensive Security Certified Professional (OSCP), or Global Information Assurance Certification Penetration Tester (GPEN) Certification

Please note that all applicants must be U",N/A,"• 10+ years of experience in cybersecurity • 8+ years of experience with penetration testing, including applying adversarial and computer attack methods and system exploitation techniques • Experience applying Linux, Windows, and virtual platforms security principles • Experience designing, testing, or implementing security architectures, enterprise systems, and hypervisors • Experience performing network security and network architecture analyses • Experience developing risk management methodologies and risk and threat mitigation plans • Experience communicating vulnerability results and risk posture to senior executives • Experience performing complex technical tasks with minimal direction Our primary focus is on developing people to further their own unique craft. This includes helping our team become more experienced leaders, learn a team-first mentality, strive for more innovation, be thought leaders, and better overall people. By putting our people first and treating them as family and helping to develop their careers in a unique and specific fashion, we’re not just giving them more opportunities to grow and be successful, we’re also raising the bar for what our customers, families, and communities receive.",No,No,No,No,"https://www.glassdoor.com/job-listing/cybersecurity-penetration-tester-fusion-innovation-JV_IC1130353_KO0,32_KE33,50.htm?jl=1009293482505&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
